KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 1, "allocated_mib": 848, "reserved_mib": 1052, "max_allocated_mib": 1025, "max_reserved_mib": 1052}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 2, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 3, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 4, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 5, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 6, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 7, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 8, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 9, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 10, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r2", "step": 11, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
